provider_id,user_id,location_id,cancellation_rate,response_time
164,13519,2,0,41.6
165,11061,2,11.78,28
166,22270,2,7.84,36.4
167,5296,2,12.19,42.7
168,8366,2,8.91,67.9
169,24467,2,10.46,37.2
170,1242,2,8.59,76.3
171,23578,2,9.99,45.1
172,8474,2,11.63,61.9
173,3294,2,4.46,24.4
174,2956,2,15.72,4.4
175,5742,2,6.7,89.1
176,10125,2,3.12,1
177,5262,2,15.76,12.6
178,28603,2,9.82,46.7
179,28799,2,9.98,48.3
180,26681,2,15.44,60.3
181,26207,2,17.78,30.7
182,9819,2,6.71,19.2
183,12238,2,13.49,127.1
184,13663,2,17.77,39.2
185,7474,2,9.31,31.8
186,7145,2,1.49,71.5
187,8550,2,15.04,49.3
188,4566,2,13.41,60.8
189,25142,2,14.99,102.5
190,7789,2,4.17,63.2
191,1305,2,13.77,6.3
192,3055,2,8.97,48.2
193,9908,2,12.39,70
194,22007,2,2.71,59.8
195,18533,2,7.49,54.2
196,7232,2,6.73,44.1
197,26352,2,14.88,33.7
198,23325,2,0.2,39.6
199,19625,2,14.35,39.9
200,29287,2,3.74,43.8
201,8373,2,7.87,41.6
202,26504,2,2.33,21.3
203,15301,2,10.17,58.5
204,3694,2,0.61,42.3
205,20645,2,0.51,131.9
206,14726,2,6.76,46.7
207,21404,2,6.13,16.7
208,26626,2,6.01,87.8
209,6737,2,23.75,10.7
210,14567,2,11.01,45.6
211,9585,2,10.91,62
212,23369,2,9.79,40.5
213,13572,2,7.82,47.9
214,23917,2,15.79,15.2
215,24504,2,7.31,48.9
216,14801,2,14.06,75.8
217,22623,2,10.41,16.8
218,14750,2,15.5,33.9
219,20616,2,18.54,54.9
220,25356,2,11.69,1
221,7773,2,6.84,30.5
222,5830,2,15.21,48.6
223,19798,2,0,36.9
224,27435,2,13.74,1
225,28070,2,18.38,32.5
226,14875,2,11.14,60
227,5748,2,5.87,77.5
228,15443,2,6.12,51.8
229,2461,2,0,74.8
230,2499,2,8.85,63.6
231,17455,2,6.47,13.4
232,8668,2,15.35,81.5
233,28285,2,6.13,12.7
234,22788,2,2.05,50.4
235,12788,2,10.28,1
236,26889,2,0,68
237,3060,2,8.85,1
238,19448,2,6.57,59.1
239,25620,2,1.57,75.1
240,5984,2,4.98,78.9
241,7731,2,9.12,17.7
242,4202,2,7.88,62
243,12136,2,4.98,82
244,20245,2,10.21,35.8
245,18648,2,9.28,57.7
246,24553,2,0,6.3
247,6063,2,11.32,27.4
248,13110,2,6.23,58.3
249,14165,2,0,92.6
250,28289,2,3.32,59.7
251,26733,2,9.11,54
252,19476,2,12.12,80.7
253,9625,2,2.96,44.4
254,19023,2,0,10.9
255,12280,2,10.08,48
256,18106,3,8.92,81
257,7998,3,6.5,31.4
258,14551,3,0,56.4
259,19082,3,8.18,37.7
260,27774,3,4.66,60.1
261,13625,3,7.99,101.6
262,28990,3,17.08,61.5
263,24982,3,7.26,23.2
264,29022,3,3.76,44.5
265,20043,3,12.97,48
266,22818,3,2.39,48.3
267,19879,3,6.24,9.9
268,21713,3,4.86,88
269,13146,3,7.47,42.3
270,19964,3,6.56,56.5
271,24432,3,13.07,46.2
272,6382,3,5.38,42.3
273,4487,3,0,40.6
274,12454,3,11.09,76.8
275,247,3,5.56,43.7
276,4516,3,20.06,6.1
277,2840,3,0.76,16.4
278,9475,3,0.13,22.6
279,985,3,21.89,54.3
280,6055,3,0,42.9
281,29938,3,2.88,62.2
282,19743,3,10.5,33
283,18915,3,5.81,41.7
284,14962,3,10.76,36.8
285,3081,3,7.33,48.4
286,20242,3,2.19,43.9
287,11983,3,3.58,34.2
288,24851,3,9.6,70.6
289,2179,3,2.11,1
290,6499,3,7.92,47.8
291,19219,3,1.21,1
292,11205,3,7.35,75.1
293,11029,3,11.73,25.1
294,14735,3,8.29,81.8
295,22191,3,5.16,17.7
296,8022,3,4.4,39.1
297,4737,3,4.65,61.1
298,25413,3,11.83,43.6
299,3497,3,14.57,5
300,25566,3,11.43,33.6
301,6141,3,1.29,63.6
302,15336,3,10.16,65.6
303,4708,3,11.1,44.1
304,19033,3,5.34,5.3
305,18800,3,2.66,94.3
306,11247,3,8.1,1.3
307,13018,3,10.77,41.8
308,5386,3,5.52,67.9
309,22561,3,3.53,43.7
310,3093,3,1.14,56
311,14318,3,5.9,37.2
312,25196,3,19.92,54
313,17032,3,9.48,1
314,8946,3,4.37,66.6
315,23534,3,12.3,15.6
316,23437,3,4.92,53.5
317,22112,3,6.22,21.8
318,5489,3,23.4,40.1
319,18284,3,9.25,59.3
320,11758,3,8.31,31.5
321,22424,3,3.52,1
322,11907,3,4.46,43
323,17013,3,15.73,40.3
324,17229,3,3.22,41.4
325,17751,3,9.22,33.4
326,16267,3,6.14,110.7
327,1571,3,7.47,23.4
328,1784,3,13.39,33.8
329,14873,3,5.01,17.5
330,22144,3,10.59,58.9
331,3603,3,4.71,48.5
332,3098,3,11.54,54.1
333,7723,3,0,42.6
334,13748,3,10.69,20
335,23925,3,18.58,26.4
336,20237,3,7.37,13.7
337,4255,3,1.7,26.9
338,5706,3,11.07,83.3
339,12799,3,9.58,97.4
340,15314,3,3.02,19.3
341,9402,3,11.9,50.6
342,22129,3,4.42,58.8
343,7101,3,13.16,37.1
344,14520,3,10.18,40.3
345,27656,3,12.01,43.8
346,10141,3,5.38,18.9
347,15573,3,15.89,80.8
348,15506,3,10.96,60.7
349,25468,3,6.1,61.3
350,28111,3,3.13,47.6
351,1889,3,6.49,78.5
352,10128,3,5.37,72.7
353,13989,3,11.25,35.3
354,14287,3,12.17,52.5
355,18846,3,8.06,1
356,29453,3,0,31.6
357,28018,3,15.16,49.6
358,23487,3,0.97,1
359,1322,3,10.95,72.6
360,4976,3,12.49,30.1
361,12499,3,0,65.5
362,9042,3,10.2,31.7
363,4581,3,4.63,51.5
364,24589,3,3.62,44.7
365,28135,3,7.3,31.9
366,15628,3,8.64,26.7
367,16265,3,16.07,58.7
368,6034,3,7.83,89.7
369,10610,3,12.67,45
370,13077,3,3.34,71.1
371,11258,3,4.68,92.9
372,27285,3,12.06,1
373,12921,3,10.52,84.4
374,5609,3,1.78,60
375,14952,3,9.62,75.4
376,17513,3,13.82,20.9
377,3285,3,12.7,23.3
378,9495,3,3.99,22.5
379,2117,3,5.94,18.2
380,542,3,10.71,9.1
381,12261,3,14.53,50.9
382,28280,3,1.97,8.2
383,17569,3,8.38,97.8
384,486,3,21.3,51.3
385,26233,3,4.23,44
386,22333,3,10.31,29.1
387,27404,3,1.64,38
388,27089,3,10.48,48.6
389,18988,3,3.72,46.3
390,10775,3,14.76,110
391,11607,3,9.31,100.6
392,23211,3,12.99,45
393,13703,3,13.43,41.4
394,7951,3,10.31,70.1
395,4624,3,12.82,37.9
396,14438,3,5.53,53.9
397,14633,3,8.43,29.2
398,10255,3,0,13.8
399,1119,3,10.63,31.8
400,24311,3,8.92,55.1
401,16364,3,0,50.7
402,938,3,9.89,81.8
403,3021,3,9.64,22.7
404,16179,3,7.1,77.9
405,21669,3,8.75,62.7
406,29201,3,4.04,61.1
407,1786,3,3.2,47.7
408,3275,3,9.05,38.4
409,11833,3,7.98,63.8
410,12702,3,13.81,28.9
411,8367,3,13.66,30.4
412,13314,3,2.9,27.9
413,10540,3,6.62,54.1
414,26978,4,14.06,29.4
415,17292,4,3.99,41.9
416,28191,4,13.08,1
417,25664,4,5.8,10.7
418,2713,4,1.31,85.3
419,17281,4,10.05,48.7
420,26101,4,11.54,25
421,7107,4,17.32,46.1
422,5049,4,6.23,69.4
423,20513,4,10.73,28.9
424,4463,4,6.43,33.2
425,9600,4,6.13,61.3
426,16394,4,5.59,100.6
427,5192,4,2.23,88.7
428,25840,4,12.14,52.2
429,20648,4,4.43,54.4
430,5401,4,3.33,36.8
431,9622,4,12.96,52.4
432,66,4,8.88,57.2
433,1616,4,12.37,70.6
434,25535,4,16.25,11.2
435,29116,4,16.18,23.4
436,12743,4,4.12,48.7
437,14852,4,18.77,39.4
438,10470,4,15.04,45
439,12827,4,11.01,10.3
440,15258,4,17.15,22.9
441,3503,4,8.11,25
442,19092,4,7.03,53.2
443,16213,4,2.16,42.9
444,3873,4,12.93,11.1
445,3236,4,7.46,35.7
446,1671,4,7.96,93.2
447,12812,4,6.6,60.4
448,18472,4,10.51,80.1
449,19382,4,7.99,66.5
450,27642,4,9.64,49.5
451,3091,4,14.7,59.7
452,7983,4,0,48.8
453,547,4,5.63,36.6
454,6315,4,17.13,40.2
455,528,4,8.75,24.7
456,13513,4,2.79,51.3
457,20767,4,0,29.6
458,9815,4,17.03,51.3
459,17682,4,13.24,53.9
460,18734,4,8.01,22.3
461,19666,4,10.35,1.7
462,15370,4,10.5,15.1
463,6721,4,5.81,23.9
464,24999,4,8.85,13.9
465,26845,4,0,65.1
466,9509,4,3.87,43.6
467,25268,4,4.02,69.7
468,7961,4,5.28,66.8
469,5525,4,6.06,44.4
470,21129,4,1.02,29.7
471,8286,4,7.02,57.1
472,16584,4,3.63,26.9
473,21862,4,10.5,72.6
474,2971,4,8.99,9.1
475,24559,4,9.59,1
476,8048,4,8.87,52.9
477,23112,4,6.9,54.9
478,26968,4,3.87,1
479,4146,4,7.71,23.5
480,28757,4,15.38,77.1
481,9810,4,11.92,26.5
482,12553,4,8.51,28.7
483,24023,4,4.7,61.5
484,28318,4,10.46,30.6
485,15872,4,12.53,48.1
486,25990,4,5.86,23.5
487,22631,4,9.81,56.2
488,21656,4,9.28,34.6
489,18541,4,9.8,78.5
490,5231,4,5.35,78.5
491,10078,4,7.99,58.7
492,28822,4,1.81,10.4
493,12477,4,8.72,34.9
494,26435,4,0.11,50.7
495,6567,4,2.76,29.6
496,29859,4,8.94,23.9
497,23937,4,8.66,17.4
498,9342,4,3.96,85
499,5274,4,6.37,57.6
500,28737,4,9.89,43.5
501,7399,4,2.66,53.8
502,18328,4,6.43,50.5
503,10166,4,14.61,5.1
504,14100,4,0,41.2
505,25402,4,11.76,57.3
506,14365,4,10.36,11.8
507,7137,4,7.41,43.2
508,8435,4,11.77,50.7
509,6461,4,4.44,32.8
510,13601,4,0,49.1
511,20502,4,17,31
512,12657,4,1.85,43.1
513,23284,4,0.17,27.2
514,11609,4,9.44,50.9
515,8774,4,9.48,62.6
516,23208,4,10.34,49.4
517,15304,4,7.29,30.7
518,7650,4,8.04,29.1
519,19283,4,13.59,41
520,10142,4,13,29.6
521,14074,4,7.54,48.6
522,17496,4,8.92,21.9
523,2641,4,14.53,47
524,25408,4,9.57,33.2
525,10374,4,10.74,15.2
526,16456,4,4.85,53.7
527,5556,4,9.61,39.9
528,6146,4,7.31,110
529,12617,4,5.73,36
530,16035,4,17.86,54.3
531,19127,4,6.76,42.5
532,5772,4,7.93,33.2
533,27605,4,13.25,31.2
534,7473,4,15.65,44
535,1373,4,5.97,12.1
536,7064,4,0,84.5
537,10316,4,15.97,61.5
538,12647,4,6.52,59.5
539,23493,4,6.56,54.9
540,14232,4,15.49,26.2
541,5785,4,3.18,60.4
542,11730,4,0,16.4
543,11575,4,4.9,47.6
544,16122,4,13.25,33.4
545,23765,4,6.64,42
546,18894,4,2.05,81.4
547,4571,4,8.09,35.7
548,9942,4,10.82,22
549,23455,4,3.43,11.8
550,18570,4,10.15,54
551,16121,4,11.19,36.7
552,6030,4,4.68,62.6
553,5726,4,2.4,84.3
554,12332,4,7.88,85.7
555,10674,4,3.85,53.6
556,11425,4,1.93,34.1
557,21190,4,6.18,92.9
558,7703,4,7.01,61.5
559,11985,4,6.9,14.6
560,9048,4,18.74,41
561,24259,4,10.12,1
562,28568,4,9.86,42.6
563,15311,4,3.85,65.7
564,23287,4,1.88,33.5
565,14093,4,0,70.9
566,8473,4,7.26,62.6
567,9605,4,9.95,73.7
568,20637,4,6.64,27
569,21194,4,8.81,76.5
570,6523,4,1.18,32.1
571,13177,4,20.81,52.8
572,10657,4,8.07,50
573,13630,5,9.33,76.9
574,7771,5,9.63,52.5
575,6933,5,12.72,21.8
576,21661,5,1.89,97.3
577,1599,5,9.98,23.7
578,7590,5,10.05,40.6
579,5378,5,8.81,36.1
580,221,5,6.69,11.2
581,8700,5,25,42.3
582,24907,5,9.88,29.9
583,17356,5,7.37,61.9
584,7228,5,21.47,64.3
585,604,5,8.74,1
586,24497,5,7.55,54.5
587,18889,5,12.64,13.8
588,18803,5,11.14,73.7
589,1679,5,9.93,44.9
590,4729,5,4.05,31
591,28357,5,12.87,66.5
592,19591,5,11.37,4.6
593,7043,5,5.95,41.4
594,24264,5,8.05,87.6
595,12102,5,7.76,37.9
596,4882,5,7.56,50.1
597,16913,5,8.99,60.2
598,361,5,9.77,7.4
599,10066,5,19.12,23.4
600,18048,5,12.54,50.5
601,5797,5,6.12,43.6
602,9651,5,0,76.9
603,12847,5,7.93,44.6
604,16248,5,8.75,86.8
605,22528,5,0,44.8
606,3222,5,9.9,48.3
607,4817,5,14.6,70.1
608,2764,5,13.27,62.1
609,23582,5,7.04,41.3
610,18537,5,0,39.2
611,3908,5,9.64,67.6
612,24244,5,8.51,34.1
613,13279,5,13.31,66.5
614,716,5,6.57,46.9
615,9292,5,12.25,12
616,1751,5,2.37,46.7
617,5346,5,13.77,1
618,25475,5,6.81,84.2
619,16291,5,2.7,1
620,18086,5,5.24,19.3
621,9962,5,9.94,69.3
622,17221,5,0,1
623,2070,5,13.56,84.2
624,14940,5,8.38,50.2
625,260,5,0,29
626,29090,5,6.06,62
627,23070,5,10.61,54.3
628,10693,5,6.27,62.4
629,16539,5,4.6,84.3
630,27540,5,5.12,54.8
631,2838,5,10.13,68.8
632,9628,5,9.22,35.2
633,22957,5,11.3,80
634,28333,5,5.71,66
635,24407,5,10.26,45.6
636,420,5,1.36,13.6
637,25440,5,0.1,46.1
638,23985,5,1.16,28.9
639,23676,5,8.76,55.6
640,12422,5,1.8,49.2
641,5439,5,11.51,32.4
642,7210,5,1.19,10.6
643,2794,5,9.5,51.8
644,4393,5,18.53,36
645,29149,5,14.62,44.5
646,15169,5,0,61.3
647,28938,5,4.86,15.7
648,24581,5,16.24,43.2
649,20214,5,12.41,64.9
650,20753,5,11.07,40
651,27031,5,5.37,69.1
652,10161,5,16.14,49.4
653,23549,5,11.07,61.6
654,3361,5,1,32.5
655,13427,5,15.46,48.1
656,14403,5,0,25.9
657,11643,5,7.34,64.6
658,24906,5,9.58,61.9
659,5479,5,15.25,44.9
660,3921,5,7.06,42.3
661,29244,5,6.42,13.6
662,6403,5,12.68,80.3
663,11243,5,15.84,21.3
664,10733,5,16.47,1
665,2621,5,5.7,40.9
666,21937,5,1.69,91.4
667,27323,5,12.75,78.4
668,26557,5,6.4,83
669,19605,5,4.85,16.4
670,15863,5,16.22,37.7
671,22914,5,17.39,49.1
672,23545,5,4.24,78.6
673,29359,5,3.22,15.9
674,3220,5,12.25,39.9
675,7533,5,9.21,7.6
676,5012,5,8.83,62
677,19173,5,8.47,29.4
678,3863,5,0,87.3
679,8557,5,20.25,63.5
680,1750,5,4.46,15.7
681,29684,5,8.52,95.3
682,10494,5,10.56,15.3
683,11670,5,8.32,27.1
684,18861,5,18.01,1
685,28019,5,8.26,37.1
686,6636,5,2.92,77
687,1209,5,8.89,14.2
688,1416,5,10.85,22.9
689,4315,5,8.08,94.9
690,21249,5,6.08,61.4
691,3986,5,11.16,83.8
692,13847,5,0,20.4
693,29297,5,5.03,15.2
694,13873,5,10.93,42
695,27852,5,9.24,22.4
696,13676,5,16.94,42
697,3340,5,22.7,79
698,8384,5,5.99,41.3
699,237,5,10.51,57.4
700,9335,5,13.06,62
701,11316,5,14.98,29.7
702,7169,5,7.07,76.7
703,9911,5,2.05,65.7
704,17536,5,11.93,49.4
705,16742,5,9.2,41.2
706,2916,5,3.99,33.9
707,9801,5,1.68,51
708,26235,5,18.27,30.3
709,2944,5,11.09,1
710,428,5,12.17,1
711,6630,5,3.77,76.5
712,17522,5,0.59,74.1
713,22298,5,10.75,42.9
714,25317,5,6.22,41
715,9507,5,14.93,28.9
716,6222,5,3.78,18.9
717,29678,5,6.02,35.4
718,12890,5,6.7,28.9
719,9017,5,7.14,81.2
720,2632,5,9.37,5.4
721,26086,5,12.03,56.6
722,7693,5,4.52,29.5
723,26986,5,6.8,54.7
724,12563,5,7.03,49.3
725,15520,5,11.93,70
726,7987,6,4.13,97.2
727,12065,6,3.94,57.1
728,11982,6,10.52,54.9
729,25308,6,5.58,87.6
730,9825,6,0,59
731,25279,6,5.66,44.2
732,6779,6,7.78,62.2
733,8830,6,0,6.5
734,4648,6,5.13,27.9
735,20204,6,5.61,87.5
736,18311,6,4.77,67
737,24479,6,7.09,74.5
738,7270,6,11.3,29.2
739,14115,6,11.18,39.7
740,10218,6,12.88,61.4
741,20487,6,12.78,63.5
742,7100,6,11.58,52.3
743,18072,6,15.77,16.4
744,4389,6,5.41,18.8
745,12962,6,4.31,45.4
746,5780,6,8.37,51.5
747,22951,6,13.72,35.5
748,27821,6,6.83,54.4
749,17084,6,9.63,63.4
750,10502,6,3.43,5.9
751,12585,6,7.34,36.2
752,19387,6,15.16,58.2
753,4026,6,6.43,46.4
754,9489,6,17.69,78.7
755,4902,6,0.77,48.2
756,14304,6,16.89,1
757,5171,6,2.48,40.9
758,18463,6,6.43,58.5
759,7066,6,7.92,38.8
760,11335,6,11.02,47.3
761,7356,6,7.84,62.9
762,28506,6,7.17,39.9
763,5308,6,4.38,9.3
764,27400,6,2.12,58.9
765,14197,6,9.66,29.5
766,7967,6,4.51,85.3
767,10122,6,14.05,49.6
768,3830,6,8.21,62.9
769,26039,6,11.64,66.6
770,28537,6,0.36,106.4
771,558,6,8.47,1
772,21203,6,14.1,104.2
773,27006,6,9.53,57.2
774,8301,6,10.26,58.9
775,10731,6,0,61.6
776,29157,6,8.1,26.4
777,22861,6,9.86,67.3
778,29645,6,12.19,44.3
779,15889,6,16.48,43.8
780,18724,6,6.45,26.7
781,26376,6,3.12,82.9
782,28099,6,10.51,43.8
783,1705,6,9.58,1
784,8819,6,11.6,64.4
785,4446,6,6.68,67.2
786,25596,6,5.45,47.2
787,20469,6,5.65,33.8
788,7864,6,2.49,56.8
789,405,6,7.2,51.5
790,1641,6,16.15,62.9
791,15782,6,10.12,64.2
792,20725,6,4.43,33.8
793,25742,6,0,18.9
794,236,6,16.18,31.9
795,808,6,3.19,34.7
796,14904,6,1.28,4.9
797,25180,6,4.5,20.7
798,12588,6,4.49,42.7
799,5577,6,7.19,69
800,20324,6,5.72,51.6
801,20786,6,8.11,33.2
802,13667,6,3.26,26.1
803,15819,6,2.52,79.7
804,23470,6,16.96,56.5
805,11953,6,5.6,18.1
806,2758,6,13.79,31.8
807,26863,6,10.74,29.4
808,9319,6,5.88,74
809,735,6,3.76,54.9
810,6717,6,8.69,46.5
811,3439,6,5.61,32.7
812,9980,6,8.36,24.6
813,21401,6,2.67,48.2
814,12096,6,6.34,39.1
815,28206,6,6.97,53.3
816,13704,6,13.33,55.4
817,14475,6,5.13,1
818,29596,6,7.39,53.2
819,3932,6,11.03,59.3
820,15664,6,6.45,44
821,26631,6,0,13.8
822,795,6,2.86,30.2
823,28912,6,13.99,74.2
824,10794,6,3.09,62.7
825,12091,6,12.1,7.6
826,8169,6,6.13,8
827,9143,6,14.09,48.7
828,1635,6,8.96,40.5
829,18605,6,13.34,35.4
830,15495,6,5.19,29.8
831,23301,6,9.1,71.1
832,28528,6,6.92,2.2
833,18929,6,0.52,66.3
834,9441,6,9.62,46.4
835,25070,6,8.42,38.3
836,26595,6,0,39.3
837,1629,6,7.74,39.9
838,2984,6,20.82,37.3
839,9499,6,15.83,32
840,27731,6,8.27,87.2
841,5102,6,11.16,40.3
842,26051,6,4.31,23.6
843,23651,6,13.35,36.8
844,8119,6,10.87,78.9
845,11199,6,9.89,32.8
846,948,6,10.5,60.4
847,10431,6,11.75,37.1
848,24365,6,6.24,36.2
849,8155,6,4.96,1
850,29724,6,2.95,25
851,5182,6,7.81,55.3
852,23473,6,8.54,40.8
853,6119,6,1.32,49.9
854,8753,6,15.25,53.3
855,26739,6,15.69,26.7
856,26935,6,9.1,73.8
857,8656,6,7.66,26.5
858,20585,6,1.27,10.2
859,4252,6,18.06,28.7
860,11343,6,10.42,61.5
861,16028,6,9.57,30.1
862,20850,6,2.68,37.1
863,29935,6,2.58,67
864,19363,6,4.79,60.9
865,3173,6,5.8,61.3
866,563,6,2.49,25.7
867,2817,6,9.3,34.5
868,19868,6,10.13,37.6
869,676,6,10.24,10.2
870,9086,6,13.28,43.9
871,18588,6,5.26,56.1
872,23142,6,5.38,55.3
873,24648,6,0,65.8
874,7627,6,7.66,49.4
875,20193,6,0,56.4
876,26180,6,5.67,73.2
877,5218,7,12.82,42.5
878,9681,7,9.16,39.1
879,17652,7,3.31,90.9
880,15199,7,5.18,28.8
881,23591,7,7.19,24.5
882,20375,7,6.55,63.6
883,6830,7,11.39,41.5
884,15415,7,2.77,16.3
885,22792,7,2.4,85.8
886,18094,7,4.09,14
887,23435,7,11.66,41.1
888,28618,7,9.58,49.3
889,25884,7,15.35,33.5
890,22793,7,14.14,18.1
891,29411,7,10.13,45.4
892,17685,7,9.94,100.1
893,240,7,9.77,1
894,1522,7,15.46,42.1
895,8379,7,10.25,51.7
896,19664,7,6.68,31.5
897,22417,7,10.87,59.1
898,1817,7,10.5,57
899,12665,7,9.56,77.9
900,14734,7,1.68,21.7
901,29156,7,16.24,51.2
902,12797,7,0,32.5
903,6245,7,13.97,10.2
904,22392,7,9.04,24.2
905,8848,7,10.12,38.5
906,16837,7,7.45,38
907,4617,7,5.56,3.4
908,22539,7,3.55,60.4
909,20155,7,7.05,44.2
910,7551,7,8.31,14.7
911,17892,7,5.91,39.8
912,18378,7,4.86,32.6
913,6197,7,3.22,61.8
914,20611,7,14.05,48.3
915,962,7,6.72,82.9
916,1879,7,9.83,14.9
917,26318,7,18.27,27.2
918,5065,7,11.43,39.9
919,26220,7,4.31,58
920,20632,7,10.61,58
921,26637,7,16.72,52.7
922,21555,7,9.81,69.7
923,26629,7,7.48,34
924,14390,7,0,22.9
925,15557,7,14.61,31.4
926,7753,7,5.72,10.4
927,1898,7,5.59,64.1
928,16131,7,2.34,50.1
929,16997,7,9.25,16.7
930,655,7,0,68.1
931,1134,7,9.23,36.2
932,11066,7,3.19,23.3
933,21632,7,10.55,21
934,6841,7,0,82.9
935,3389,7,15.36,2.2
936,26456,7,7.29,77.6
937,21422,7,10.71,71.9
938,25509,7,10.8,34
939,26811,7,10.26,52.1
940,18039,7,8.98,56.2
941,19969,7,15.64,24.7
942,29950,7,3.4,8.3
943,25795,7,8.09,60.2
944,2295,7,10.13,22.2
945,9958,7,10.37,80
946,18418,7,10.82,1
947,9046,7,7.22,61.5
948,8299,7,0,52.1
949,27069,7,5.27,31.5
950,23760,7,13.17,51.6
951,10422,7,8.11,66.5
952,16491,7,9.38,59.5
953,2216,7,0.71,48.7
954,12157,7,0,28.9
955,10311,7,4.48,64
956,6305,7,13.07,48.4
957,9151,7,13.13,44.3
958,23669,7,11.78,76.2
